CALQ_0,CALQ_1,CALQ_2,CALQ_3,CALQ_4,CALQ_5,CALQ_6,CALQ_7,CALQ_8,CALQ_9,CALQ_10,CALQ_11,CALQ_12,CALQ_13,CALQ_14,CALQ_15,CALQ_16,CALQ_17,CALQ_18,CALQ_19,CALQ_20,CALQ_21,CALQ_22,CALQ_23,CALQ_24,CALQ_25,CALQ_26,CALQ_27,CALQ_28,CALQ_29,CALQ_30,CALQ_31,CALQ_32,CALQ_33,CALQ_34,CALQ_35,CALQ_36,CALQ_37,CALQ_38,CALQ_39,CALQ_40,CALQ_41,CALQ_42,CALQ_43,CALQ_44,CALQ_45,CALQ_46,CALQ_47
38,73,56,44,35,72,34,139,30,227,108,34,54,61,116,55,56,21,43,79,23,28,58,167,63,294,24,175,245,13,7,11,244,82,27,51,140,20,52,73,67,136,124,39,78,14,67,42
0,0,20,25,0,24,0,0,13,9,0,12,0,5,0,20,42,20,0,36,0,0,0,22,191,3,13,9,30,68,0,71,18,22,22,166,6,31,0,37,0,144,45,156,29,7,4,22
104,69,15,13,18,0,0,9,0,0,0,67,0,13,41,25,4,60,42,6,54,11,7,0,10,162,144,124,43,4,12,13,30,13,117,46,0,14,15,6,25,30,151,11,128,63,47,38
0,0,0,16,0,55,120,15,19,34,17,241,5,14,17,40,17,0,97,84,0,34,12,161,10,3,16,26,48,83,0,0,9,38,20,0,0,15,49,11,12,24,13,10,34,18,14,10
25,34,8,10,0,11,31,68,8,29,8,127,744,0,11,65,5,3,0,20,31,0,0,21,40,22,26,30,9,0,4,5,16,56,72,210,40,286,81,15,12,17,0,0,6,0,0,26
0,13,13,8,0,3,0,0,0,140,12,0,18,22,0,0,13,6,68,0,0,33,0,6,29,78,23,0,0,21,16,6,14,10,187,6,0,7,78,3,0,10,5,5,0,70,55,16
12,44,12,13,6,196,98,47,17,9,83,58,0,46,15,132,3,0,0,20,68,4,28,0,78,4,0,20,0,8,0,8,72,101,12,6,0,14,9,6,5,23,4,0,49,13,25,98
4,10,0,0,4,0,13,48,12,13,0,0,0,0,11,10,42,13,11,0,20,34,64,54,75,102,104,32,10,140,41,5,5,0,6,16,50,0,4,17,12,10,9,11,3,13,51,11
44,202,26,12,17,10,4,5,27,15,8,35,21,3,5,10,10,0,63,43,120,25,100,56,4,5,0,33,13,72,58,4,0,0,0,107,11,9,28,0,49,0,5,26,142,0,6,12
42,46,5,5,0,8,15,0,0,26,94,62,132,0,0,0,71,13,3,35,5,0,174,34,23,5,0,0,23,20,22,0,4,0,14,8,7,26,22,16,0,0,7,8,4,46,0,12
